Number,Tract,Point,Depth (cm),Area,Tin (g),Tin + sample (g),Sample (g),Dry tin + sample,Dry Sample (g),% Moisture,,,,,,
1,T1,P1,0-15,East End,0.96,11.31,10.35,5.94,4.98,43%,,,,,,
3,T1,P2,0-15,East End,1,11.43,10.43,6.04,5.04,42%,,,,,,
5,T1,P3,0-15,East End,0.89,11.97,11.08,6.68,5.79,40%,,,,,,
7,T1,P4,0-15,East End,1.3,11.7,10.4,6.22,4.92,40%,,,,,,
9,T1,P5,0-15,East End,0.95,10.41,9.46,5.34,4.39,44%,,,,,,
11,T2,P1,0-15,East End,0.97,10.48,9.51,5.08,4.11,47%,,,,,,
13,T2,P2,0-15,East End,1.01,11.83,10.82,6.42,5.41,41%,,,,,,
15,T2,P3,0-15,East End,0.96,11.07,10.11,5.87,4.91,42%,,,,,,
17,T2,P4,0-15,East End,1.02,12.43,11.41,6.58,5.56,42%,,,,,,
19,T2,P5,0-15,East End,1,11.69,10.69,6.28,5.28,41%,,,,,,
21,T3,P1,0-15,East End,1.06,11.14,10.08,5.12,4.06,49%,,,,,,
23,T3,P2,0-15,East End,1.03,11.11,10.08,5.61,4.58,44%,,,,,,
25,T3,P3,0-15,East End,0.99,10.99,10,6.23,5.24,38%,,,,,,
27,T3,P4,0-15,East End,1.02,10.89,9.87,6.16,5.14,38%,,,,,,
29,T3,P5,0-15,East End,1,11,10,4.91,3.91,51%,,,,,,
31,T1,P1,0-15,West Pond,1.01,10.73,9.72,1.81,0.8,81%,,,,,,
33,T1,P2,0-15,West Pond,1,10.44,9.44,1.61,0.61,83%,,,,,,
35,T1,P3,0-15,West Pond,1,10.79,9.79,1.6,0.6,84%,,,,,,
37,T1,P4,0-15,West Pond,1.02,11.91,10.89,1.94,0.92,82%,,,,,,
39,T1,P5,0-15,West Pond,1.01,11.78,10.77,1.68,0.67,84%,,,,,,
41,T2,P1,0-15,West Pond,1,9.58,8.58,1.74,0.74,80%,,,,,,
43,T2,P2,0-15,West Pond,1.01,12.04,11.03,1.87,0.86,83%,,,,,,
45,T2,P3,0-15,West Pond,0.99,11.58,10.59,1.77,0.78,83%,,,,,,
47,T2,P4,0-15,West Pond,1.05,10.73,9.68,1.74,0.69,82%,,,,,,
49,T2,P5,0-15,West Pond,1.01,10.64,9.63,1.83,0.82,81%,,,,,,
51,T3,P1,0-15,West Pond,1.02,10.61,9.59,1.68,0.66,82%,,,,,,
53,T3,P2,0-15,West Pond,1.01,11.28,10.27,1.79,0.78,83%,,,,,,
55,T3,P3,0-15,West Pond,0.99,10.67,9.68,1.69,0.7,83%,,,,,,
57,T3,P4,0-15,West Pond,1.05,11.15,10.1,1.99,0.94,80%,,,,,,
2,T1,P1,15-30,East End,0.99,11.35,10.36,6.54,5.55,37%,,,,,,
4,T1,P2,15-30,East End,1.01,10.96,9.95,6.74,5.73,32%,,,,,,
6,T1,P3,15-30,East End,1.38,11.95,10.57,7.04,5.66,33%,,,,,,
8,T1,P4,15-30,East End,0.95,10.85,9.9,6.09,5.14,38%,,,,,,
10,T1,P5,15-30,East End,1,10.84,9.84,6.28,5.28,36%,,,,,,
12,T2,P1,15-30,East End,1.02,11.12,10.1,6.63,5.61,34%,,,,,,
14,T2,P2,15-30,East End,1,10.35,9.35,5.82,4.82,38%,,,,,,
16,T2,P3,15-30,East End,1.01,11.68,10.67,6.87,5.86,36%,,,,,,
18,T2,P4,15-30,East End,0.99,10.82,9.83,6.8,5.81,31%,,,,,,
20,T2,P5,15-30,East End,1.06,11.85,10.79,6.78,5.72,37%,,,,,,
22,T3,P1,15-30,East End,0.97,11.15,10.18,5.86,4.89,42%,,,,,,
24,T3,P2,15-30,East End,0.98,11.47,10.49,6.09,5.11,42%,,,,,,
26,T3,P3,15-30,East End,0.96,10.86,9.9,6.4,5.44,35%,,,,,,
28,T3,P4,15-30,East End,1,11.37,10.37,7.2,6.2,31%,,,,,,
30,T3,P5,15-30,East End,0.98,10.75,9.77,6.29,5.31,36%,,,,,,
32,T1,P1,15-30,West Pond,1,11.01,10.01,1.7,0.7,83%,,,,,,
34,T1,P2,15-30,West Pond,1.01,10.61,9.6,1.73,0.72,82%,,,,,,
36,T1,P3,15-30,West Pond,1.03,10.9,9.87,4.51,3.48,54%,,,,,,
38,T1,P4,15-30,West Pond,1.01,11.56,10.55,4.26,3.25,60%,,,,,,
40,T1,P5,15-30,West Pond,1.01,10.82,9.81,4.05,3.04,59%,,,,,,
42,T2,P1,15-30,West Pond,1.02,10.22,9.2,2.77,1.75,70%,,,,,,
44,T2,P2,15-30,West Pond,1.05,11.26,10.21,5.03,3.98,51%,,,,,,
46,T2,P3,15-30,West Pond,1.09,10.4,9.31,4.77,3.68,49%,,,,,,
48,T2,P4,15-30,West Pond,1.04,12.07,11.03,4.63,3.59,58%,,,,,,
50,T2,P5,15-30,West Pond,1,10.93,9.93,4.04,3.04,59%,,,,,,
52,T3,P1,15-30,West Pond,1.03,10.71,9.68,1.73,0.7,82%,,,,,,
54,T3,P2,15-30,West Pond,1.05,11.57,10.52,4.39,3.34,58%,,,,,,
56,T3,P3,15-30,West Pond,1.05,11.67,10.62,5.03,3.98,53%,,,,,,
58,T3,P4,15-30,West Pond,1.01,10.79,9.78,3.14,2.13,68%,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
